127,1023,-32768,-32768,
143,1023,-32768,-32768,
243,1023,-32768,-32768,
145,1023,-32768,-32768,
143,1023,-32768,-32768,
155,1023,-32768,-32768,
155,1023,-32768,-32768,
211,1023,-32768,-32768,
131,1023,-32768,-32768,
63,1023,-32768,-32768,
92,1023,-32768,-32768,
175,1023,-32768,-32768,
55,1023,-32768,-32768,
55,1023,-32768,-32768,
69,1023,-32768,-32768,
34,1023,-32768,-32768,
46,1023,-32768,-32768,
36,1023,-32768,-32768,
32,1023,-32768,-32768,
31,1023,-32768,-32768,
-32768,1023,-32768,-32768,
183,1023,-32768,-32768,
144,1023,-32768,-32768,
39,1023,-32768,-32768,
54,1023,-32768,-32768,
27,1023,-32768,-32768,
20,1023,-32768,-32768,
64,1023,-32768,-32768,
28,1023,-32768,-32768,
10,1023,-32768,-32768,
12,1023,-32768,-32768,
21,1023,-32768,-32768,
14,1023,-32768,-32768,
7,1023,-32768,-32768,
22,1023,-32768,-32768,
23,1023,-32768,-32768,
21,1023,-32768,-32768,
18,1023,-32768,-32768,
101,1023,-32768,-32768,
32,1023,-32768,-32768,
25,1023,-32768,-32768,
21,1023,-32768,-32768,
29,1023,-32768,-32768,
14,1023,-32768,-32768,
27,1023,-32768,-32768,
15,1023,-32768,-32768,
51,1023,-32768,-32768,
11,1023,-32768,-32768,
11,1023,-32768,-32768,
14,1023,-32768,-32768,
13,1023,-32768,-32768,
14,1023,-32768,-32768,
16,1023,-32768,-32768,
10,1023,-32768,-32768,
17,1023,-32768,-32768,
18,1023,-32768,-32768,
11,1023,-32768,-32768,
29,1023,-32768,-32768,
11,1023,-32768,-32768,
